Cygwin Package Information
Package                                 Version                Status
python-tkinter                          2.7.10-1               OK
python3                                 3.4.3-1                OK
randrproto                              1.5.0-1                OK
rebase                                  4.4.1-1                OK
renderproto                             0.11.1-1               OK
resourceproto                           1.2.0-1                OK
rsync                                   3.1.2-1                OK
run                                     1.3.4-2                OK
scrnsaverproto                          1.2.2-2                OK
sed                                     4.2.2-3                OK
shared-mime-info                        1.5-1                  OK
sharutils                               4.15.2-1               OK
tar                                     1.28-1                 OK
tcl                                     8.5.18-1               OK
tcl-tix                                 8.4.3-2                OK
tcl-tk                                  8.5.18-1               OK
tcsh                                    6.19.00-2              OK
terminfo                                6.0-2.20160123         OK
texinfo                                 6.1-1                  OK
tzcode                                  2016a-1                OK
unzip                                   6.0-15                 OK
util-linux                              2.25.2-2               OK
vim                                     7.4.1278-1             OK
vim-common                              7.4.1278-1             OK
vim-minimal                             7.4.1278-1             OK
w32api-headers                          4.0.4-1                OK
w32api-runtime                          4.0.4-1                OK
wget                                    1.17.1-1               OK
which                                   2.20-2                 OK
windows-default-manifest                6.4-1                  OK
xauth                                   1.0.9-1                OK
xcursor-themes                          1.0.4-1                OK
xextproto                               7.3.0-1                OK
xf86-video-dummy                        0.3.7-4                OK
xf86-video-nested                       0.1.0-7                OK
xf86bigfontproto                        1.2.0-1                OK
xhost                                   1.0.7-1                OK
xineramaproto                           1.2.1-1                OK
xkbcomp                                 1.3.1-1                OK
xkeyboard-config                        2.17-1                 OK
xorg-server                             1.18.0-2               OK
xorg-server-common                      1.18.0-2               OK
xorg-server-devel                       1.18.0-2               OK
xorg-x11-fonts-dpi100                   7.5-2                  OK
xorg-x11-fonts-dpi75                    7.5-2                  OK
xorg-x11-fonts-misc                     7.5-2                  OK
xproto                                  7.0.28-1               OK
xrandr                                  1.4.3-1                OK
xterm                                   320-1                  OK
xwininfo                                1.1.3-1                OK
xxd                                     7.4.1278-1             OK
xz                                      5.2.2-1                OK
zip                                     3.0-12                 OK
zlib                                    1.2.8-3                OK
zlib-devel                              1.2.8-3                OK
zlib0                                   1.2.8-3                OK
